Series,Time,Value
CU-S0038,2019-03-03,51.70471590909091
CU-S0038,2019-03-04,80.75768115942029
CU-S0038,2019-03-05,54.35687920875421
CU-S0038,2019-03-06,57.98020202020202
CU-S0038,2019-03-07,73.78597537878788
CU-S0038,2019-03-08,77.10265467171718
CU-S0038,2019-03-09,59.12275757575758
CU-S0038,2019-03-10,47.60051452020202
CU-S0038,2019-03-11,91.85631779754063
CU-S0038,2019-03-12,155.69336426767677
CU-S0038,2019-03-13,165.45195707070707
CU-S0038,2019-03-14,135.39100694444446
CU-S0038,2019-03-15,120.12051388888888
CU-S0038,2019-03-16,80.44557765151517
CU-S0038,2019-03-17,60.45665530303031
CU-S0038,2019-03-18,57.21241477272727
CU-S0038,2019-03-19,31.35852101370851
CU-S0038,2019-03-20,30.19034848484848
CU-S0038,2019-03-21,36.424469696969695
CU-S0038,2019-03-22,86.19992592592592
CU-S0038,2019-03-24,72.7545462962963
CU-S0038,2019-03-25,34.73755357142857
CU-S0038,2019-03-26,31.063596189164368
CU-S0038,2019-03-27,29.06699275362319
CU-S0038,2019-03-28,27.705517676767673
CU-S0038,2019-03-29,42.179760874046586
CU-S0038,2019-03-31,48.21432291666666
CU-S0038,2019-04-01,67.35833333333333
CU-S0038,2019-04-08,29.74433333333333
CU-S0038,2019-04-09,38.52813762626263
CU-S0038,2019-04-10,38.05824074074074
CU-S0038,2019-04-11,53.51817108585859
CU-S0038,2019-04-12,58.54350378787879
CU-S0038,2019-04-13,38.39584911616162
CU-S0038,2019-04-14,35.918074494949494
CU-S0038,2019-04-15,35.17487179487179
CU-S0038,2019-04-16,24.9476672979798
CU-S0038,2019-04-17,34.59071654040404
CU-S0038,2019-04-18,34.3091663510101
CU-S0038,2019-04-19,29.34399923605806
CU-S0038,2019-04-20,43.53600378787879
CU-S0038,2019-04-21,55.58589962121212
CU-S0038,2019-04-22,33.4882782369146
CU-S0038,2019-04-23,20.84368080808081
CU-S0038,2019-04-24,30.026963383838382
CU-S0038,2019-04-25,41.79466732542819
CU-S0038,2019-04-26,33.93835669191919
CU-S0038,2019-04-27,27.528329966329963
CU-S0038,2019-04-28,23.052190656565656
CU-S0038,2019-04-29,22.055288089225588
CU-S0038,2019-04-30,25.972165404040407
CU-S0038,2019-05-01,26.620072463768114
CU-S0038,2019-05-02,39.14290214646464
CU-S0038,2019-05-03,51.159143939393935
CU-S0038,2019-05-04,28.04883689839572
CU-S0038,2019-05-05,24.033011363636362
CU-S0038,2019-05-06,25.62388669301713
CU-S0038,2019-05-07,29.406494729907774
CU-S0038,2019-05-08,28.055054834054832
CU-S0038,2019-05-09,20.658962450592885
CU-S0038,2019-05-10,21.049551767676768
CU-S0038,2019-05-11,20.164469696969697
